Name,Brand,Description,Category,Rating,Image_URL,Tags
Banety SM Metro 313,Banety,Banety SM Metro 313,Mobiles,3.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/5/5/sm-metro-313-sm-b313e-banety-original-imahgbbnv4q9zt4q.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO C75 5G (Enchanted Green, 64 GB)",POCO,"POCO C75 5G (Enchanted Green, 64 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/f/-original-imahbr2cmpwexghw.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Pro 5G (Lunar Dust, 256 GB)",POCO,"POCO M7 Pro 5G (Lunar Dust, 256 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/x/-original-imah7jspd8dcxfut.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",MOTOROLA,"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/q/d/-original-imahgqnzf8kcnddy.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",vivo,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/w/0/-original-imahfkx4pbdh5pff.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Pro 5G (Lavender Frost, 256 GB)",POCO,"POCO M7 Pro 5G (Lavender Frost, 256 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/g/z/-original-imah7jsp8bh3s4rv.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",OPPO,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/r/y/-original-imahfw4vez79uubg.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/z/x/-original-imahgqnzzgfbyevh.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO C71 (Desert Gold, 128 GB)",POCO,"POCO C71 (Desert Gold, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/l/a/-original-imahg2ny5htzbrjb.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
HOTLINE TURTLE,HOTLINE,HOTLINE TURTLE,Mobiles,3.7,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/v/i/classic-turtle-classic-turtle-hotline-original-imahb9ghf3g4hc9c.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Pro 5G (Olive Twilight, 256 GB)",POCO,"POCO M7 Pro 5G (Olive Twilight, 256 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/f/d/-original-imah7jsp9uzpjkyc.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",vivo,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/w/0/-original-imahfkx4pbdh5pff.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",OPPO,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/q/k/-original-imahfw4vamrf5xhf.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)",Samsung,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)",Mobiles,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/8/s/-original-imahfz2tvjqak9v3.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4x 5G (Pronto Purple, 128 GB)",vivo,"vivo T4x 5G (Pronto Purple, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/t/v/-original-imahavdv28z4nrkn.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Motorola g45 5G (Brilliant Blue, 128 GB)",Motorola,"Motorola g45 5G (Brilliant Blue, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/l/c/-original-imah3xk892aj9gck.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO C75 5G (Aqua Bliss, 64 GB)",POCO,"POCO C75 5G (Aqua Bliss, 64 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/2/g/-original-imahbr2cz5apcwze.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4x 5G (Marine Blue, 128 GB)",vivo,"vivo T4x 5G (Marine Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/v/-original-imahavdveeghweea.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Ai+ Pulse (Black, 64 GB)",Ai+,"Ai+ Pulse (Black, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/b/p/-original-imahgzhpc8abrthu.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G (Satin Black, 128 GB)",POCO,"POCO M7 5G (Satin Black, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/3/-original-imah9wydpxgkjtgw.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Ai+ Pulse (Pink, 64 GB)",Ai+,"Ai+ Pulse (Pink, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/y/5/-original-imahgzhpxcp8527s.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M6 Plus 5G (Misty Lavender, 128 GB)",POCO,"POCO M6 Plus 5G (Misty Lavender, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/b/n/-original-imah3afnqj84usyy.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/q/r/-original-imahfvrmzd46wgw5.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Plus 5G (Carbon Black, 128 GB)",POCO,"POCO M7 Plus 5G (Carbon Black, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/t/s/-original-imahf728ffwf54gs.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO X7 5G (Cosmic Silver, 128 GB)",POCO,"POCO X7 5G (Cosmic Silver, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/g/v/-original-imahbzrrxtsbwggz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)",Samsung,"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)",Mobiles,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/a/6/-original-imahfz2tnafhmagr.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",Samsung,"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)",Mobiles,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/8/s/-original-imahfz2tvjqak9v3.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA g05 (Forest Green, 64 GB)",MOTOROLA,"MOTOROLA g05 (Forest Green, 64 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/a/b/-original-imah83eztbdcsknu.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)",MOTOROLA,"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/o/9/-original-imahgqnzt97efyph.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4x 5G (Glacial Teal, 128 GB)",vivo,"vivo T4x 5G (Glacial Teal, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/k/r/-original-imahfhudssrdghcz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F36 5G (Black, 128 GB)",Samsung,"Samsung Galaxy F36 5G (Black, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/c/0/-original-imahgynnhrgyx5wz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Samsung,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/q/r/-original-imahfvrmzd46wgw5.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 Plus 5G (Chrome Silver, 128 GB)",POCO,"POCO M7 Plus 5G (Chrome Silver, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/o/4/-original-imahf728axcsmfeq.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Ai+ Pulse (Sparkle Red, 64 GB)",Ai+,"Ai+ Pulse (Sparkle Red, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/e/-original-imahdtguffqrygnb.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA g35 5G (Leaf Green, 128 GB)",MOTOROLA,"MOTOROLA g35 5G (Leaf Green, 128 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/v/c/g35-5g-pb3h0001in-motorola-original-imah7c6xqfsptyzx.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Ai+ Pulse (Purple, 64 GB)",Ai+,"Ai+ Pulse (Purple, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/4/y/-original-imahgzhpcehgd6xv.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Ai+ Pulse (Green, 64 GB)",Ai+,"Ai+ Pulse (Green, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/8/r/-original-imahgzhp6ymjfsv4.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4x 5G (Marine Blue, 128 GB)",vivo,"vivo T4x 5G (Marine Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/v/-original-imahavdveeghweea.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",IQOO,"IQOO Z10 Lite 5G (Cyber Green, 256 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/7/w/z10-lite-5g-i2409-iqoo-original-imahh6acqhjatyuw.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)",MOTOROLA,"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/i/g/-original-imahgqnzhgzbckff.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/l/g/-original-imahgympttnkvw7t.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO C75 5G (Silver Stardust, 64 GB)",POCO,"POCO C75 5G (Silver Stardust, 64 GB)",Mobiles,4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/b/b/-original-imahbr2czzcrgfx7.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)",realme,"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/r/c/narzo-80-lite-4g-rmx5313-realme-original-imahegxgdvbva7zf.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",realme,"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/f/t/-original-imahfsgv98qsukvz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",MOTOROLA,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/b/t/-original-imahgqnzzc6cgggb.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",MOTOROLA,"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/6/r/-original-imahgqnzbwhbqywa.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G86 Power 5G (Pantone Cosmic Sky, 128 GB)",MOTOROLA,"MOTOROLA G86 Power 5G (Pantone Cosmic Sky, 128 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/i/a/-original-imahgqnzmz2zamkt.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)",MOTOROLA,"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/c/p/-original-imahgqnz7w9vazdb.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"Samsung Galaxy F07 (Green, 64 GB)",Samsung,"Samsung Galaxy F07 (Green, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/m/4/-original-imahgacf8wvads6f.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)",MOTOROLA,"MOTOROLA G96 5G (Pantone Cattleya Orchid, 256 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/c/p/-original-imahgqnz7w9vazdb.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4 5G (Phantom Grey, 256 GB)",vivo,"vivo T4 5G (Phantom Grey, 256 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/t/x/-original-imahbgpzbumfzkbh.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"POCO M7 5G (Satin Black, 128 GB)",POCO,"POCO M7 5G (Satin Black, 128 GB)",Mobiles,4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/b/i/3/-original-imah9wydpxgkjtgw.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/l/1/-original-imahbfd4cgh53kmh.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",OPPO,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",Mobiles,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/k/e/-original-imahbfd4zqn9zazz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",vivo,"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/a/x/-original-imahfkvfhcddfzvh.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",MOTOROLA,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",Mobiles,4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/e/i/-original-imahgqnzuy2fzusz.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)",realme,"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)",Mobiles,4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/r/n/narzo-80-lite-4g-rmx5313-realme-original-imahegxgsh63vgqh.jpeg?q=70,"mobile, smartphone, flipkart, electronics"
