Name,Brand,Description,Category,Rating,Image_URL,Tags
Fastrack Revolt FS1+ 2.01inch Biggest UltraVU Display|I...,Fastrack,Fastrack Revolt FS1+ 2.01inch Biggest UltraVU Display|I...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/3/s/p/-original-imahfmpuzzq4yt8m.jpeg?q=70,"smart watch, flipkart, electronics"
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,Fastrack,Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/1/j/-original-imah5hztwc84veub.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Crown R Pro 2 1.43''HD AMOLED, BT Calling, Zinc...",GOBOULT,"GOBOULT Crown R Pro 2 1.43''HD AMOLED, BT Calling, Zinc...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/y/w/-original-imahejyngwh3myzg.jpeg?q=70,"smart watch, flipkart, electronics"
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,Noise,Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/i/u/-original-imah76jt64ffmwg4.jpeg?q=70,"smart watch, flipkart, electronics"
"Fire-Boltt Legacy 36.3mm (1.43"") AMOLED Display, Blueto...",Fire-Boltt,"Fire-Boltt Legacy 36.3mm (1.43"") AMOLED Display, Blueto...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/d/d/r/-original-imahbx8xwyqvmkzz.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Hurricane 33.02mm (1.3) Curved Glass Display...,Fire-Boltt,Fire-Boltt Hurricane 33.02mm (1.3) Curved Glass Display...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/x/j/s/-original-imah4eddxhvzpxhc.jpeg?q=70,"smart watch, flipkart, electronics"
Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,Fastrack,Fastrack Revoltt FS1-1.83''|BT Calling|Fast Charge|110+...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/j/h/7/-original-imagvpakfvggsgg5.jpeg?q=70,"smart watch, flipkart, electronics"
"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Fire-Boltt,"Fire-Boltt Rise Bluetooth Calling 47mm (1.85), Metal Bo...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/b/n/v/-original-imah82phwpdn7vgr.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Dire 1.38'' 2.5D Curved HD Display, 500Nits, 25...",GOBOULT,"GOBOULT Dire 1.38'' 2.5D Curved HD Display, 500Nits, 25...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/l/8/m/-original-imahejynpqvjwvy5.jpeg?q=70,"smart watch, flipkart, electronics"
"GOBOULT Trail 2.01"" 3D Curved Display, Working Crown, H...",GOBOULT,"GOBOULT Trail 2.01"" 3D Curved Display, Working Crown, H...",Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/1/e/v/-original-imahejyn4nbsgvhc.jpeg?q=70,"smart watch, flipkart, electronics"
Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,Fire-Boltt,Fire-Boltt Ninja Talk 35.3mm (1.39) Round Bluetooth Cal...,Smart Watches,N/A,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/r/s/n/-original-imah4fe3bdxzdcyb.jpeg?q=70,"smart watch, flipkart, electronics"
